link,status,host,participants,spots,HP,HPperspot,time,days
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838d72a57e4890d780a88fc,Dead,One Crazy Guy,19.0,11.0,114763937.0,10433085.181818182,286722.0,3:07:38:42
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683c55d5a5628a329d0ee4b9,Dead,Dancing Pinata,12.0,18.0,187926381.0,10440354.5,249367.0,2:21:16:07
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683ad98c1b01b152a701160a,Dead,SDB NoUnderwearNoDiapers,16.0,14.0,146201430.0,10442959.285714284,320940.0,3:17:09:00
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68391ea975fe7393c60514e6,Dead,Vittorio Mad Hacksaw Marangello,15.0,15.0,157037973.0,10469198.2,290538.0,3:08:42:18
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68399c898eb0ad45bf0db220,Dead,Stefania Fat Thumbs Accardo,21.0,9.0,94489081.0,10498786.777777778,322760.0,3:17:39:20
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683886b81af6d195730261a1,Dead,SDB NoUnderwearNoDiapers,18.0,12.0,128521524.0,10710127.0,323686.0,3:17:54:46
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683d26e137975b447b02d94e,Dead,Baby Kins,17.0,13.0,140010212.0,10770016.307692308,302881.0,3:12:08:01
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839374c31d0f40f000253de,Dead,Boss 460 Stang,20.0,10.0,107984938.0,10798493.8,229130.0,2:15:38:50
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68388a3b0217d4c0010509b2,Dead,XxGingerSnapXx,24.0,6.0,64985342.0,10830890.333333334,330685.0,3:19:51:25
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68395fca342f46a9f60b39b0,Dead,DEATH SEEKER II,27.0,3.0,32793495.0,10931165.0,317959.0,3:16:19:19
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68389d4e93ee5814ce0de4d8,Dead,Eredin,17.0,13.0,142440794.0,10956984.153846154,291301.0,3:08:55:01
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838aa456f41ed35ea016017,Dead,Cupusuee,22.0,8.0,88256639.0,11032079.875,193019.0,2:05:36:59
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a34fd1a23db9bad0fee18,Dead,Matigas,16.0,14.0,154882452.0,11063032.285714284,294072.0,3:09:41:12
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838890c5c179ddf9e046b55,Dead,Paul Denton,18.0,12.0,133890168.0,11157514.0,313609.0,3:15:06:49
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683aae3ac6ee0d059f0bbc5c,Dead,David ELITE,23.0,7.0,78115896.0,11159413.714285716,302086.0,3:11:54:46
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683c661edf477d6acb059482,Dead,W I Z A R T,21.0,9.0,100712058.0,11190228.666666666,253533.0,2:22:25:33
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838c26624156d3b7b00cf4f,Dead,OvErWaTcH,14.0,16.0,179829624.0,11239351.5,328278.0,3:19:11:18
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a41992a9ae1bc4c05adbc,Dead,OvErWaTcH,16.0,14.0,158788348.0,11342024.857142856,315388.0,3:15:36:28
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683999af5ce32422000bfc8c,Dead,Byte The Fookin Pillow,21.0,9.0,102327472.0,11369719.111111112,322029.0,3:17:27:09
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838a1dbb6184ad3d9036db6,Dead,Delboy trotter,14.0,16.0,184188874.0,11511804.625,208956.0,2:10:02:36
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683b8bc32057f132350ba165,Dead,Alessandra Rusty Weasal Lombardozzi,18.0,12.0,138408187.0,11534015.583333334,197632.0,2:06:53:52
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838ee8c1e44e42c6a079b0d,Dead,Craig the Wrench,12.0,18.0,208148965.0,11563831.388888888,341839.0,3:22:57:19
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a1ebe64e37bdeae0f019c,Dead,Byte The Fookin Pillow,17.0,13.0,150915044.0,11608849.538461538,288375.0,3:08:06:15
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683884c74d1a80fa990a122c,Dead,Mini Bomb,19.0,11.0,128459249.0,11678113.545454543,340693.0,3:22:38:13
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683a69df6440dbe81c0e9c4c,Dead,James Machine Gun Capesso,22.0,8.0,93894966.0,11736870.75,295694.0,3:10:08:14
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838d7a098fe9415d10de51d,Dead,Claudio il grande martello,14.0,16.0,188290079.0,11768129.9375,272348.0,3:03:39:08
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68391676f8495b17d3056768,Dead,Naughty Boy,18.0,12.0,143825282.0,11985440.166666666,322312.0,3:17:31:52
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683afba77512cd3e93032275,Dead,BaBa Booey,17.0,13.0,156487948.0,12037534.461538462,329667.0,3:19:34:27
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68388ac72eb25686d5008d6e,Dead,GoodBoY the 1st,26.0,4.0,48712709.0,12178177.25,337667.0,3:21:47:47
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838a33a5ad9503d9a04136d,Dead,L e T i t s N o w,12.0,18.0,220553345.0,12252963.611111112,320306.0,3:16:58:26
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683892eabb11869f8d0aa8a5,Dead,DANCING QUEEN,26.0,4.0,49116496.0,12279124.0,332917.0,3:20:28:37
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838850b103b68559b08439a,Dead,Frankie One Ear Persico,16.0,14.0,171957526.0,12282680.42857143,323260.0,3:17:47:40
